grid,velocity,T,D,X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_C,X_CH,X_CH2,X_CH2(S),X_CH3,X_CH4,X_CO,X_CO2,X_HCO,X_CH2O,X_CH2OH,X_CH3O,X_CH3OH,X_C2H,X_C2H2,X_C2H3,X_C2H4,X_C2H5,X_C2H6,X_HCCO,X_CH2CO,X_HCCOH,X_N,X_NH,X_NH2,X_NH3,X_NNH,X_NO,X_NO2,X_N2O,X_HNO,X_CN,X_HCN,X_H2CN,X_HCNN,X_HCNO,X_HOCN,X_HNCO,X_NCO,X_N2,X_AR,X_C3H7,X_C3H8,X_CH2CHO,X_CH3CHO
0,0.496529181,300,1.19693405,3.73087251e-13,-3.15129138e-13,-5.23149302e-17,0.201535509,-3.96849081e-18,2.84829085e-16,-1.44950467e-15,1.55695553e-14,-2.03307511e-13,1.37071448e-13,-1.37036823e-15,-2.64973828e-18,6.08364956e-13,5.16240783e-15,-7.78865799e-16,-5.32458694e-18,-1.7969137e-18,-1.34516998e-14,-1.77173992e-18,-1.78257822e-18,-2.09589723e-16,-2.4673554e-14,-1.32999463e-16,-1.89494158e-18,3.46753918e-14,-1.70985611e-18,-4.20208434e-15,-2.86788033e-18,-6.4956377e-16,2.42226772e-18,-1.10754798e-13,3.48566461e-14,-4.54287204e-16,2.69855736e-16,-2.35687411e-18,2.72214286e-14,3.16771019e-14,-8.97686437e-17,-9.93093219e-14,3.15710712e-15,3.505725e-14,-5.04492526e-14,-2.86775672e-18,-2.36297866e-17,-1.81470735e-18,-8.12620949e-17,1.16366359e-17,0.75815739,-2.26109585e-18,-3.52332161e-14,0.0403071017,-1.52798177e-18,-4.20838422e-16
0.006,0.496529181,300,1.19693405,1.54380946e-11,-3.83698588e-18,-4.66400851e-15,0.201535509,-3.11064697e-17,-1.16170718e-13,-2.15704859e-13,1.55716737e-14,-9.30535545e-20,1.89964679e-20,-1.04470583e-20,5.1093884e-25,-2.94141634e-12,4.80512574e-15,-1.16797069e-13,-5.75834596e-16,1.63133298e-19,-1.39119353e-14,5.20484134e-24,-2.17538617e-18,-2.05868561e-16,-7.00501331e-21,-1.28912753e-16,4.82919911e-24,3.46806116e-14,7.34962741e-21,1.77294621e-12,4.40163737e-23,-6.46287783e-16,5.69804177e-18,-1.88653503e-14,6.46642946e-17,-4.46201453e-16,2.75207416e-16,6.07443729e-25,-2.99804422e-14,3.16707297e-14,-6.0693653e-17,-9.92688668e-14,2.89035883e-21,3.50613826e-14,-5.04434504e-14,7.95924741e-21,-1.98091763e-17,2.00589632e-18,-7.7441442e-17,3.149086e-15,0.75815739,2.57974735e-18,-3.03582771e-13,0.0403071017,6.09368706e-22,-4.17593515e-16
0.012,0.496529181,300,1.19693405,6.17973838e-10,-1.11246154e-21,-6.13062024e-16,0.201535509,-5.38875716e-18,-1.35859809e-13,-2.15926889e-13,1.55645568e-14,-6.76931705e-24,-2.32075084e-24,-1.38485343e-22,-1.83151128e-24,-4.95120939e-12,4.20261203e-15,-1.16883702e-13,-5.62925683e-16,-8.674308e-23,-1.41554051e-14,-1.86190257e-23,-2.13447744e-18,-2.12888598e-16,-2.28178225e-24,-1.36603483e-16,-1.72713772e-23,3.46668995e-14,-5.78386253e-20,2.77975071e-12,-1.57422043e-22,-6.52468487e-16,-4.8295578e-19,-3.21815306e-15,9.09286538e-20,-4.61137066e-16,2.65198316e-16,-2.17412105e-24,-4.56960956e-14,3.16517285e-14,-4.2743201e-17,-9.92471985e-14,-7.73232481e-24,3.5054363e-14,-5.0450253e-14,-1.0986302e-23,-2.70014898e-17,-5.18641768e-18,-8.46337499e-17,3.09926258e-15,0.758157389,-6.49369994e-18,-3.44213979e-13,0.0403071017,-2.17930709e-21,-4.23717048e-16
0.015,0.496529185,300,1.19693404,9.73036808e-09,3.89718011e-21,-1.60679078e-16,0.201535507,-1.38564504e-18,-1.18923316e-13,-2.15609288e-13,1.55904144e-14,2.44995539e-23,8.46224324e-24,5.08664231e-22,6.67082539e-24,-5.51133125e-12,4.50269008e-15,-1.14766459e-13,-5.17688776e-16,3.1687741e-22,-1.41865942e-14,6.78131659e-23,-1.59648505e-18,-1.99941331e-16,8.30343702e-24,-1.21651378e-16,6.29055362e-23,3.47043548e-14,2.036177e-19,3.06079852e-12,5.73350991e-22,-6.41213577e-16,1.07480371e-17,-9.33358109e-16,1.06572311e-19,-4.33447827e-16,2.8336368e-16,7.91857066e-24,-4.79473444e-14,3.16606106e-14,-1.71913192e-17,-9.92146317e-14,2.81720575e-23,3.50671857e-14,-5.04375424e-14,4.00423427e-23,-1.39378087e-17,7.87722164e-18,-7.15701093e-17,3.11316131e-15,0.758157382,9.97509184e-18,-3.49734625e-13,0.0403071014,7.93485575e-21,-4.12588262e-16
0.0165,0.496529218,300,1.19693396,8.09136769e-08,-5.93036151e-21,-8.67666135e-17,0.201535492,-8.91544667e-19,3.89146706e-13,-2.15239064e-13,1.58043494e-14,-3.729441e-23,-1.28816541e-23,-7.73634207e-22,-1.01546455e-23,-5.68166039e-12,2.04737216e-14,-6.14225179e-14,-2.45790294e-16,-4.82279405e-22,-1.41464799e-14,-1.03227652e-22,-2.06831248e-18,-2.02315212e-16,-1.26399035e-23,-9.84851649e-17,-9.5757111e-23,3.51063833e-14,-2.92844823e-19,3.14658325e-12,-8.72734683e-22,-6.48700669e-16,2.21590702e-18,-4.31999287e-16,-1.6029524e-19,-4.43201438e-16,2.69700969e-16,-1.20540399e-23,-4.85158957e-14,3.16472707e-14,-2.07975485e-17,-9.92198005e-14,-4.28848086e-23,3.50575319e-14,-5.0447185e-14,-6.09542642e-23,-2.38587049e-17,-2.04526226e-18,-8.14878351e-17,3.08178552e-15,0.758157328,-2.52857193e-18,-3.51441337e-13,0.0403070988,-1.20665805e-20,-4.20956704e-16
0.018,0.496529571,300,1.19693311,8.46058141e-07,4.88830672e-21,-2.612358e-17,0.201535336,-1.92324649e-19,1.82726472e-11,-1.9129917e-13,2.45285613e-14,3.07470413e-23,1.0620142e-23,6.37986133e-22,8.3718866e-24,-5.75176982e-12,5.89849633e-13,1.98417709e-12,1.40210553e-14,3.97564096e-22,-7.66884898e-15,8.5104676e-23,-1.2961697e-18,1.828909e-16,1.04208512e-23,1.50619613e-15,7.89454985e-23,5.57865964e-14,2.46264686e-19,3.18321267e-12,7.19483439e-22,-5.80479278e-16,9.1009418e-18,-1.89357586e-16,1.31406041e-19,-1.69098519e-16,2.84984902e-16,9.93782335e-24,-4.86713863e-14,3.1668114e-14,-6.61646629e-18,-9.92016199e-14,3.5356022e-23,3.50669965e-14,-5.04394529e-14,5.02529557e-23,-1.58537618e-17,5.87986817e-18,-7.32911148e-17,3.09208682e-15,0.758156747,7.35662883e-18,-3.52001373e-13,0.0403070714,9.94180142e-21,-4.0911558e-16
0.01875,0.496531041,300.000001,1.19692956,4.02587899e-06,-6.25662754e-21,-3.1761458e-17,0.201534686,-4.21761082e-19,2.56179527e-10,1.52071874e-13,1.51362197e-13,-3.9318142e-23,-1.3578732e-23,-8.15586521e-22,-1.07041534e-23,-5.75996928e-12,8.18918407e-12,3.15567233e-11,2.83797931e-13,-5.08262533e-22,1.16249739e-13,-1.08813788e-22,-2.21251954e-18,7.52701986e-15,-1.3324202e-23,2.99736994e-14,-1.00936608e-22,4.38812505e-13,-3.06227313e-19,3.20939565e-12,-9.20004227e-22,7.72818376e-16,4.66558037e-18,-1.25573349e-16,-1.68318545e-19,2.16969045e-15,3.36614819e-16,-1.2706621e-23,-4.78962814e-14,3.19052161e-14,-9.26439257e-18,-9.92033628e-14,-4.52044777e-23,3.50834298e-14,-5.04453146e-14,-6.425479e-23,-2.05059735e-17,-2.89363466e-19,-7.41700228e-17,3.07401244e-15,0.758154331,-6.74233233e-19,-3.52242366e-13,0.0403069574,-1.27028667e-20,-3.01382975e-16
0.019125,0.496534472,300.00001,1.19692129,1.14282388e-05,-2.80410505e-20,-5.28980322e-17,0.201533172,-1.01516706e-18,1.8980935e-09,2.72102383e-12,1.10626199e-12,-1.76375639e-22,-6.09216354e-23,-3.65897648e-21,-4.80217133e-23,-5.73894176e-12,6.07888424e-11,2.52725368e-10,2.9058673e-12,-2.27991864e-21,1.3325745e-12,-4.88175568e-22,-5.8203052e-18,8.09176911e-14,-5.97751238e-23,2.91049084e-13,-4.52823959e-22,4.08448068e-12,-1.39164634e-18,3.4190284e-12,-4.12704178e-21,1.61393588e-14,4.48188947e-18,-1.09379523e-16,-7.40589937e-19,1.3451584e-14,7.51634473e-16,-5.70097051e-23,-4.13397523e-14,3.40426061e-14,-1.43494425e-17,-9.9194463e-14,-2.02809682e-22,3.5275551e-14,-5.04548065e-14,-2.8825803e-22,-1.58734041e-17,-1.04569076e-17,-3.25729895e-17,3.04929933e-15,0.758148706,-1.31083436e-17,-3.50137231e-13,0.040306692,-5.69443308e-20,9.79155957e-16
0.0195,0.496546365,300.000098,1.19689262,3.68716079e-05,3.25886366e-20,7.74830799e-17,0.201527962,2.93671464e-19,1.75540806e-08,2.91729947e-11,1.10216013e-11,2.04154368e-22,7.0483678e-23,4.23364851e-21,5.55692107e-23,-5.53672083e-12,5.63742939e-10,2.5318632e-09,3.77587613e-11,2.6363826e-21,1.76515111e-11,5.65026201e-22,-2.21668676e-17,1.08271524e-12,6.9184472e-23,3.56998922e-12,5.23877824e-22,5.15644004e-11,3.29973195e-18,6.36405532e-12,4.77494185e-21,2.53299738e-13,1.51832702e-16,-5.7397622e-17,8.35555933e-19,8.96024811e-14,4.95193303e-15,6.5967287e-23,2.7461479e-14,6.0086787e-14,4.82743091e-17,-9.8972894e-14,2.34716708e-22,3.79702926e-14,-5.04371425e-14,3.33589051e-22,1.9610816e-16,4.06844154e-18,6.7286583e-16,3.08480961e-15,0.758129365,4.00069106e-18,-3.05890896e-13,0.0403057799,6.5634454e-20,2.10580217e-14
0.019875,0.496588237,300.000987,1.1967917,0.000124323065,3.63240727e-20,1.19000724e-15,0.201510008,6.03775981e-18,1.66830511e-07,3.01719819e-10,1.13860388e-10,2.03209832e-22,7.01957087e-23,4.21322236e-21,5.52653764e-23,-3.65852594e-12,5.3727232e-09,2.60172215e-08,5.01001106e-10,2.62785678e-21,2.36572633e-10,5.6217739e-22,2.32019218e-16,1.47545167e-11,6.8889553e-23,4.4747176e-11,5.22098255e-22,6.69890112e-10,3.29745279e-16,4.77937819e-11,4.7584533e-21,3.91080371e-12,2.2507742e-15,4.68041065e-17,8.30717699e-19,6.02406103e-13,4.5761994e-14,6.57116499e-23,7.41628059e-13,3.75951456e-13,6.94071111e-16,-9.68781851e-14,2.33751681e-22,7.41862321e-14,-5.03772965e-14,3.32267654e-22,2.85055212e-15,2.42564303e-17,9.91160903e-15,3.14561472e-15,0.758062824,1.3545824e-17,4.80483476e-13,0.0403026446,6.56368388e-20,3.33346763e-13
