grid,velocity,T,D,X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_C,X_CH,X_CH2,X_CH2(S),X_CH3,X_CH4,X_CO,X_CO2,X_HCO,X_CH2O,X_CH2OH,X_CH3O,X_CH3OH,X_C2H,X_C2H2,X_C2H3,X_C2H4,X_C2H5,X_C2H6,X_HCCO,X_CH2CO,X_HCCOH,X_N,X_NH,X_NH2,X_NH3,X_NNH,X_NO,X_NO2,X_N2O,X_HNO,X_CN,X_HCN,X_H2CN,X_HCNN,X_HCNO,X_HOCN,X_HNCO,X_NCO,X_N2,X_AR,X_C3H7,X_C3H8,X_CH2CHO,X_CH3CHO
0,0.382357729,300,1.12253276,7.54939263e-12,-4.04614257e-13,-6.05445587e-15,0.190045249,-5.90425315e-13,9.7633832e-15,-5.52522548e-15,6.71240868e-14,6.59025371e-13,1.23364011e-18,2.92309567e-14,8.20634982e-19,-6.65683844e-14,0.0950226244,6.00879683e-16,8.95977789e-17,5.60526021e-19,-6.82699442e-14,5.54441717e-19,5.76078008e-19,2.31188723e-14,-3.04140312e-13,-8.96734624e-15,5.911826e-19,-1.99666438e-13,5.53652863e-19,2.2211454e-15,9.01347107e-19,3.52180472e-15,3.57181226e-15,-1.36489958e-12,1.6422862e-12,-1.66831579e-15,-7.94749041e-16,7.34401612e-19,4.28869274e-15,-3.85682889e-14,3.13482362e-17,3.93560113e-14,2.38319222e-15,-1.57750837e-14,3.08066759e-14,9.01330094e-19,-1.0475478e-18,-1.13895767e-15,2.30851077e-15,1.70273412e-17,0.714932127,6.88340525e-19,-1.96599114e-14,-3.14401602e-15,4.79980009e-19,4.53792072e-17
0.006,0.382357729,300,1.12253276,2.29839933e-10,-3.73255451e-18,-4.31354675e-13,0.190045249,3.35935181e-15,9.97418751e-13,-6.12747778e-13,2.72198502e-14,2.49653424e-19,-4.13184085e-25,2.28469157e-19,-3.61632758e-25,8.44787856e-13,0.0950226244,6.67405945e-14,1.29688361e-14,-3.67629518e-19,-6.13591211e-14,-4.90327113e-24,3.21300825e-18,2.31155222e-14,-7.12376014e-20,-8.97038319e-15,-4.38627371e-24,-1.9920276e-13,3.04665833e-18,1.55559611e-15,-4.0327285e-23,3.51936034e-15,3.5693652e-15,-1.96176018e-13,2.44127969e-15,-1.67436005e-15,-7.98722255e-16,-5.2388723e-25,4.80878879e-13,-3.85807609e-14,2.86301028e-17,3.95605193e-14,1.54331555e-21,-1.57365107e-14,3.10648302e-14,-2.75031533e-24,-3.90054415e-18,-1.14181067e-15,2.30565778e-15,2.39881209e-15,0.714932127,-2.92664428e-18,-2.01350788e-14,-3.14433257e-15,-6.88042651e-22,4.29537952e-17
0.012,0.382357731,300,1.12253275,6.98903407e-09,1.52814046e-20,-5.1002837e-13,0.190045248,-2.76220112e-16,9.40920048e-13,-5.33069019e-13,-1.16204985e-14,1.42049392e-24,3.2319001e-25,2.87317803e-23,2.99214654e-25,6.72014865e-13,0.0950226238,6.88230466e-14,1.29820859e-14,1.22756439e-23,-5.94375032e-14,3.83446307e-24,3.89437927e-18,2.31182982e-14,4.3579629e-25,-8.96819591e-15,3.43092121e-24,-1.98699185e-13,3.25562975e-18,1.30288318e-15,3.15271139e-23,3.52102867e-15,3.57102842e-15,-2.82402735e-14,3.65251558e-18,-1.66946303e-15,-7.95885595e-16,4.0945707e-25,3.14767825e-13,-3.85955141e-14,3.05658824e-17,3.95479133e-14,1.53460198e-24,-1.57273011e-14,3.11127261e-14,2.15128709e-24,-1.93691519e-18,-1.13984705e-15,2.3076216e-15,2.40353483e-15,0.714932122,-3.80179211e-19,-2.06316133e-14,-3.1412241e-15,2.93822744e-22,4.46015065e-17
0.015,0.382357759,300,1.12253267,8.49067067e-08,1.53048123e-20,-4.8830852e-13,0.190045233,-2.83894039e-16,1.8870554e-12,-4.9303905e-13,-3.03307564e-14,1.33834604e-23,3.26322104e-24,2.60710944e-22,2.74398975e-24,5.86421145e-13,0.0950226165,1.29669404e-13,1.35216619e-14,1.57581138e-22,-5.84308996e-14,3.75762713e-23,3.73423675e-18,2.31392637e-14,4.56907755e-24,-8.95426514e-15,3.46419103e-23,-1.98414978e-13,3.20810348e-18,1.33217653e-15,3.18413768e-22,3.52898733e-15,3.57884295e-15,-7.14309756e-15,6.94584716e-20,-1.63933069e-15,-7.82868559e-16,4.13423691e-24,2.93611298e-13,-3.85932544e-14,3.9634749e-17,3.95520584e-14,1.54845966e-23,-1.57174783e-14,3.11269903e-14,2.17213685e-23,7.18194593e-18,-1.13072902e-15,2.316749e-15,2.42476613e-15,0.714932066,1.11862689e-17,-2.08622624e-14,-3.13373569e-15,4.25755787e-21,5.24093839e-17
0.0165,0.382357926,300,1.12253218,5.53490171e-07,1.35898223e-20,-4.71562786e-13,0.190045142,-2.7447349e-16,2.11105808e-11,-4.58066457e-13,-3.14378244e-14,1.16973642e-23,2.8521228e-24,2.27806079e-22,2.39888178e-24,5.46623572e-13,0.095022573,1.40895207e-12,2.79820461e-14,1.37475507e-22,-5.54566852e-14,3.28535416e-23,3.44241527e-18,2.34779744e-14,3.99348197e-24,-8.84057158e-15,3.02778734e-23,-1.976705e-13,3.09922978e-18,1.95563934e-15,2.7830278e-22,3.536608e-15,3.58185153e-15,-2.89948808e-15,5.11927476e-20,-1.48848287e-15,-7.72472336e-16,3.61340705e-24,2.89415918e-13,-3.85714259e-14,4.30604227e-17,3.95525748e-14,1.35340317e-23,-1.5712776e-14,3.11313257e-14,1.89848848e-23,1.06293412e-17,-1.12730698e-15,2.32042887e-15,2.43273278e-15,0.714931731,1.53106712e-17,-2.09745647e-14,-3.13055827e-15,3.71065576e-21,5.74806479e-17
0.018,0.38235932,300.000004,1.12252809,4.4669854e-06,3.37623871e-21,-4.47225215e-13,0.190044389,-2.62338518e-16,5.27114637e-10,3.8298216e-15,1.99131305e-13,-3.98121411e-23,-9.706873e-24,-7.73124897e-22,-8.05970497e-24,5.49050475e-13,0.0950222095,3.79372712e-11,5.65328832e-13,-4.80162404e-22,4.09592281e-14,-1.11305869e-22,2.56797748e-18,3.6293171e-14,-1.35916462e-23,-4.9802955e-15,-1.03048164e-22,-1.74931794e-13,2.56457912e-18,2.53318699e-14,-9.47171096e-22,3.7221722e-15,3.56711721e-15,-1.18991865e-15,-1.74463329e-19,1.08758591e-15,-6.37563247e-16,-1.22973283e-23,2.89358193e-13,-3.78378829e-14,2.62179144e-17,3.95304225e-14,-4.60610142e-23,-1.56852589e-14,3.11144961e-14,-6.46135337e-23,-6.13839893e-18,-1.14503916e-15,2.31233653e-15,2.39156564e-15,0.714928934,-8.15477509e-18,-2.10978234e-14,-3.13524986e-15,-1.31844995e-20,1.34269219e-16
0.01875,0.382363899,300.000047,1.12251464,1.72128299e-05,-7.11483367e-20,-3.91293408e-13,0.190041934,-2.4513916e-16,5.58008679e-09,4.80273985e-12,2.80548372e-12,-4.90170961e-22,-1.19518107e-22,-9.5229486e-21,-9.94726777e-23,9.49965352e-13,0.0950210241,4.33690051e-10,8.12434217e-12,-5.87921048e-21,1.40877924e-12,-1.3716643e-21,-8.42501985e-19,2.22034062e-13,-1.67342346e-22,4.67034086e-14,-1.26873712e-21,1.38587431e-13,-1.03078644e-18,3.74927971e-13,-1.16605444e-20,6.95412634e-15,3.51112526e-15,-7.52246203e-16,-2.08922106e-18,1.90228459e-14,9.29300839e-16,-1.51417806e-22,3.07799002e-13,-2.82203092e-14,-2.70001437e-17,3.95169328e-14,-5.6712052e-22,-1.51041712e-14,3.10514215e-14,-7.95531592e-22,-5.73560276e-17,-1.20993917e-15,2.38367333e-15,2.24102602e-15,0.714919823,-8.57677334e-17,-2.12024752e-14,-3.04852525e-15,-1.60644761e-19,1.59171114e-15
0.019125,0.382372686,300.000271,1.12248885,4.11551124e-05,2.20539712e-19,-2.02930132e-13,0.190037317,-5.76237808e-17,3.20718043e-08,3.19009128e-11,1.76599935e-11,1.30435153e-21,3.18033652e-22,2.53373846e-20,2.64729815e-22,3.1462569e-12,0.0950187904,2.67642926e-09,6.31796876e-11,1.56251611e-20,1.14837152e-11,3.65032513e-21,4.99918848e-17,1.61373368e-12,4.4531215e-22,4.04934361e-13,3.37596309e-21,2.38651336e-12,1.2135147e-17,3.08169531e-12,3.10236095e-20,3.48611027e-14,3.60937762e-15,-4.34516435e-16,5.43685433e-18,8.58667563e-14,9.91247023e-15,4.02918241e-22,4.17481185e-13,3.62689169e-14,1.53660529e-16,4.00239432e-14,1.50911846e-21,-1.01949039e-14,3.1149712e-14,2.11690263e-21,1.39526619e-16,-1.11321661e-15,3.47697358e-15,2.46451191e-15,0.714902703,3.08724133e-17,-2.11549553e-14,-1.6245166e-15,4.2574092e-19,1.45963571e-14
0.0195,0.382398939,300.00193,1.12241179,0.000109100063,-1.00566009e-19,7.99533318e-13,0.190024169,1.23232301e-15,2.2608359e-07,2.4518894e-10,1.35315122e-10,-7.7129131e-22,-1.88030358e-22,-1.49733174e-20,-1.56393431e-22,1.93119854e-11,0.0950124024,2.03695637e-08,6.16153565e-10,-9.2193957e-21,1.13763284e-10,-2.15834953e-21,1.69837215e-15,1.59738089e-11,-2.63337594e-22,3.82852878e-12,-1.99614675e-21,2.46125783e-11,-2.71726525e-18,3.19218814e-11,-1.83363354e-20,3.57847635e-13,3.73721379e-15,-3.75473839e-16,-3.07808143e-18,4.36453069e-13,7.61932634e-14,-2.38176378e-22,1.28727428e-12,6.28115135e-13,9.69135725e-16,4.30378097e-14,-8.92152379e-22,3.930447e-14,3.1161988e-14,-1.25147408e-21,1.11131304e-15,-1.1517611e-15,1.34892826e-14,2.36832075e-15,0.714854081,-3.26889195e-17,-2.12076692e-14,1.65701438e-14,-2.50320015e-19,1.65831561e-13
0.019875,0.382483145,300.014178,1.12216468,0.000301905774,1.08217487e-18,6.2497128e-12,0.189986526,4.10748106e-14,1.64677526e-06,1.92418913e-09,1.06697352e-09,1.26258472e-21,3.07761322e-22,2.47685695e-20,2.6648176e-22,1.39970389e-10,0.0949939132,1.59937293e-07,6.16957787e-09,1.64600511e-20,1.15192422e-09,3.54445838e-21,7.9964853e-14,1.64139556e-10,4.311211e-22,3.65540856e-11,3.26876144e-21,2.44371963e-10,8.0497054e-18,3.37670527e-10,3.00883298e-20,4.10784872e-12,5.82308434e-15,-1.20554304e-16,5.04629275e-18,2.28102733e-12,5.73207707e-13,3.89964734e-22,8.19886964e-12,6.068748e-12,9.82393141e-15,6.7524809e-14,1.46029207e-21,5.4918721e-13,3.19069258e-14,2.04937914e-21,1.15097172e-14,-9.41934867e-16,1.15050602e-13,2.78737591e-15,0.714715837,4.88262374e-17,-2.10759999e-14,2.62614861e-13,4.41782427e-19,1.93675963e-12
0.0200625,0.382610134,300.04961,1.12179223,0.000531160678,1.25046474e-17,1.80877169e-11,0.189940805,5.92908966e-13,5.72518655e-06,7.09094023e-09,3.94898829e-09,-3.31659369e-21,-8.10356236e-22,-5.33274271e-20,-1.38141005e-22,4.87367584e-10,0.0949709254,5.90199826e-07,2.77762055e-08,-1.06655425e-20,5.2311058e-09,-8.92329667e-21,1.22456336e-12,7.55880356e-10,-1.13448499e-21,1.57937321e-10,-8.58969723e-21,1.08657753e-09,1.02789188e-17,1.59672589e-09,-7.78504949e-20,2.08989853e-11,1.47992863e-14,2.3245058e-17,-1.24879876e-17,6.14942749e-12,2.03042597e-12,-1.02468013e-21,2.96548488e-11,2.54923812e-11,4.41761039e-14,1.42901129e-13,-3.84171045e-21,2.57963048e-12,3.45503638e-14,-5.39355262e-21,5.17582692e-14,-4.90716996e-16,5.11384748e-13,3.57023956e-15,0.714550746,-5.98603944e-17,-2.08360163e-14,1.53759252e-12,-6.76756908e-19,9.93071983e-12
0.02025,0.382957218,300.19794,1.12077552,0.000970927011,2.73304593e-16,5.62909288e-11,0.189849256,8.55922144e-12,2.26884235e-05,3.00067683e-08,1.6788418e-08,1.45896053e-21,3.58666094e-22,6.31490055e-19,3.07882086e-20,1.92904527e-09,0.0949229586,2.50151305e-06,1.47017199e-07,1.37302657e-18,2.79409055e-08,2.9855503e-20,1.84816311e-11,4.10273978e-09,5.08129007e-22,7.98448165e-10,4.08005656e-21,5.66900825e-09,1.1615384e-15,8.92861149e-09,5.29110377e-20,1.26699082e-10,7.20076465e-14,1.17409767e-15,1.10230039e-17,1.82540071e-11,8.21288098e-12,4.52792397e-22,1.25623829e-10,1.24353576e-10,2.35789387e-13,4.79317901e-13,1.70846331e-21,1.40349026e-11,5.02520563e-14,2.38970795e-21,2.75345425e-13,2.65173823e-15,2.70739309e-12,9.38040039e-15,0.714231425,8.66383873e-17,-1.88287146e-14,1.07708042e-11,6.99601218e-18,6.06891369e-11
0.02034375,0.383412322,300.449031,1.11944518,0.00134210531,2.01303139e-15,1.07801927e-10,0.18976574,4.90909123e-11,5.12508137e-05,7.10110671e-08,3.97983978e-08,1.48919289e-20,3.63723504e-21,7.94847022e-18,3.95026043e-19,4.3274315e-09,0.0948763901,5.92285974e-06,4.08564848e-07,1.9330363e-17,7.80831117e-08,4.47809702e-19,1.10769102e-10,1.1615578e-08,5.10179724e-21,2.14529883e-09,4.29565171e-20,1.55866861e-08,1.37189439e-14,2.58460568e-08,4.68076043e-19,3.89771543e-10,2.14154529e-13,2.90489024e-15,6.49549988e-17,3.3964944e-11,1.8814123e-11,4.60471789e-21,2.98856042e-10,3.24917496e-10,6.58879815e-13,1.08242538e-12,1.72582893e-20,3.9686628e-11,8.55744286e-14,2.42151899e-20,7.6737918e-13,9.46162754e-15,7.54094407e-12,2.18787115e-14,0.713957932,2.49127277e-16,-1.38564006e-14,3.69846691e-11,3.94486417e-17,1.87824959e-10
0.0204375,0.384440583,301.098151,1.11645101,0.00188308059,1.54636422e-14,2.1817737e-10,0.189629456,2.63416283e-10,0.000124794817,1.82417316e-07,1.02320367e-07,-1.51182432e-20,-3.70677011e-21,9.74430618e-17,5.03322623e-18,1.03624526e-08,0.0947947789,1.52189573e-05,1.2595934e-06,3.0514645e-16,2.42053319e-07,6.75343189e-18,6.64262752e-10,3.65710667e-08,-5.23286869e-21,6.36521247e-09,3.23379815e-20,4.74711564e-08,1.30273793e-13,8.34573305e-08,7.82809265e-19,1.34831334e-09,7.31373361e-13,6.37946634e-15,4.54465122e-17,6.63581277e-11,4.65504054e-11,-4.68213105e-21,7.73624137e-10,9.3299572e-10,2.0433706e-12,2.72278978e-12,-1.77154382e-20,1.24706684e-10,2.02688038e-13,-2.46151948e-20,2.37268775e-12,3.09681605e-14,2.33172262e-11,6.08955715e-14,0.713550695,-1.73722445e-17,5.10812392e-15,1.44809649e-10,2.1289162e-16,6.54147457e-10
