grid,velocity,T,D,X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_C,X_CH,X_CH2,X_CH2(S),X_CH3,X_CH4,X_CO,X_CO2,X_HCO,X_CH2O,X_CH2OH,X_CH3O,X_CH3OH,X_C2H,X_C2H2,X_C2H3,X_C2H4,X_C2H5,X_C2H6,X_HCCO,X_CH2CO,X_HCCOH,X_N,X_NH,X_NH2,X_NH3,X_NNH,X_NO,X_NO2,X_N2O,X_HNO,X_CN,X_HCN,X_H2CN,X_HCNN,X_HCNO,X_HOCN,X_HNCO,X_NCO,X_N2,X_AR,X_C3H7,X_C3H8,X_CH2CHO,X_CH3CHO
0,2.29596815,300,0.84955338,0.295774648,2.8405329e-15,2.52812325e-16,0.147887324,1.56003875e-16,-2.366726e-18,2.53549139e-18,-2.23700319e-16,-6.34061093e-16,6.40953202e-19,-2.30267641e-16,4.24846841e-19,-8.35921298e-17,-4.38724634e-16,-4.73609483e-19,1.5748279e-19,2.97520831e-19,-3.0195941e-16,2.92898854e-19,2.92887826e-19,-5.81494697e-16,2.71347564e-16,2.1630047e-16,3.09909558e-19,-1.31914578e-18,2.80192301e-19,-3.71267437e-17,4.78402937e-19,7.09609022e-16,-3.07394285e-16,8.75153032e-16,-1.09445664e-15,2.65733576e-18,7.93427389e-17,3.84293548e-19,-5.66750897e-19,-7.28899245e-17,2.9627085e-19,-1.08404343e-15,-2.92942602e-16,2.56008259e-16,-1.78249759e-16,4.7839415e-19,2.96204989e-19,3.25315177e-16,1.60789798e-16,-2.98218418e-19,0.556338028,3.76356448e-19,1.77472406e-16,-2.70059601e-17,2.54114248e-19,-3.93810417e-16
0.006,2.29596815,300,0.84955338,0.295774648,1.44830036e-19,-1.72876535e-16,0.147887324,-7.33154593e-18,-1.04831269e-15,1.70337714e-15,-2.24286871e-16,-1.43962185e-21,-1.95750437e-25,-1.65042008e-20,-7.03523068e-26,2.63006188e-15,-4.37335474e-16,-1.94303926e-16,-1.01819268e-16,3.19371491e-21,-3.44881502e-16,-2.43555632e-24,-7.60625791e-21,-5.81953075e-16,6.20598336e-22,2.20924508e-16,-2.23448445e-24,-1.9138955e-18,-6.99266225e-21,-1.39547333e-15,-2.07268058e-23,7.09222417e-16,-3.07780828e-16,3.62762892e-16,-1.07181285e-17,-6.97114563e-19,8.11330951e-17,-2.11671111e-25,-5.75441972e-16,-7.33883468e-17,-1.520296e-19,-1.08469093e-15,-7.04909431e-22,2.55200047e-16,-1.78682233e-16,-1.41676318e-24,-1.53546094e-19,3.24865426e-16,9.97198701e-17,-2.33500776e-16,0.556338028,-1.93613967e-19,1.77129798e-16,-2.73180635e-17,-2.8510738e-22,-3.94193642e-16
0.012,2.29596815,300,0.84955338,0.295774648,-8.24721805e-22,4.26475743e-17,0.147887324,-2.70684037e-20,-1.03835175e-15,1.70783891e-15,-2.23365077e-16,4.05118625e-24,9.38361616e-25,6.94839805e-23,3.35984942e-25,6.47552617e-15,-4.31687267e-16,-1.82591055e-16,-1.00580866e-16,4.90855608e-23,-3.41763758e-16,1.16751731e-23,3.53241627e-20,-5.81153665e-16,1.38586015e-24,2.21711022e-16,1.07113352e-23,-5.24485532e-19,3.31311728e-20,-3.31852768e-15,9.93555472e-23,7.09848699e-16,-3.07154874e-16,1.3429125e-16,-8.88080169e-20,-1.26110412e-18,8.42490008e-17,1.01474182e-24,-3.53744728e-16,-7.25784896e-17,5.73696412e-19,-1.08365425e-15,4.75693137e-24,2.55914979e-16,-1.77972341e-16,6.79147856e-24,5.75614789e-19,3.25594587e-16,5.14685582e-17,-1.8284186e-16,0.556338028,7.3249995e-19,1.77645985e-16,-2.67746989e-17,1.36626291e-21,-3.935731e-16
0.015,2.29596815,300,0.84955338,0.295774648,4.79443711e-21,1.04943078e-16,0.147887324,3.04150616e-19,-1.00874462e-15,1.76468382e-15,-2.21796958e-16,1.38598556e-23,3.20779524e-24,2.41844259e-22,1.14856653e-24,8.6218663e-15,-4.26951113e-16,-1.62998695e-16,-9.84825454e-17,1.67626716e-22,-3.36511849e-16,3.99114813e-23,1.19648895e-19,-5.79807251e-16,4.73265651e-24,2.23034114e-16,3.66166306e-23,1.80400196e-18,1.11868398e-19,-4.39010421e-15,3.39638228e-22,7.10907077e-16,-3.06097047e-16,6.64460689e-17,5.77831518e-20,6.87967932e-20,8.71394627e-17,3.46890192e-24,-2.79653497e-16,-7.12183004e-17,1.79665354e-18,-1.08201877e-15,1.62655025e-23,2.57119229e-16,-1.76779309e-16,2.32166769e-23,1.80376905e-18,3.26822741e-16,3.09736372e-17,-1.58291687e-16,0.556338028,2.28258321e-18,1.78538485e-16,-2.58711357e-17,4.66863119e-21,-3.92524234e-16
0.0165,2.29596815,300,0.84955338,0.295774648,-1.3035749e-20,9.90381007e-17,0.147887324,-4.81256986e-19,-1.02051304e-15,1.70280292e-15,-2.25003908e-16,-5.50559293e-23,-1.27425296e-23,-9.60470826e-22,-4.56252653e-24,9.73389557e-15,-4.28667312e-16,-2.02194321e-16,-1.02673573e-16,-6.65142875e-22,-3.46690293e-16,-1.58534027e-22,-4.02218628e-19,-5.82450643e-16,-1.8799753e-23,2.20390558e-16,-1.45447549e-22,-2.51559328e-18,-3.76634882e-19,-4.95298053e-15,-1.34876126e-21,7.08795695e-16,-3.08207333e-16,3.66485058e-17,-2.29608578e-19,-5.21262399e-18,8.39391152e-17,-1.3779716e-23,-2.62357538e-16,-7.39369845e-17,-6.46216264e-19,-1.08518574e-15,-6.4611468e-23,2.54714946e-16,-1.79158889e-16,-9.22234919e-23,-6.49063539e-19,3.24369909e-16,1.8068908e-17,-1.53485273e-16,0.556338028,-8.19876422e-19,1.76741392e-16,-2.76533751e-17,-1.84426628e-20,-3.94616524e-16
0.018,2.29596815,300,0.84955338,0.295774648,1.51625108e-20,1.27015662e-16,0.147887324,7.37115193e-19,-9.89755034e-16,1.784773e-15,-2.22046938e-16,5.20566761e-23,1.20484652e-23,9.07966802e-22,4.31401882e-24,1.09017569e-14,-4.23599566e-16,-1.65717222e-16,-9.87406103e-17,6.28263607e-22,-3.3735081e-16,1.49890926e-22,3.27196776e-19,-5.7999944e-16,1.77756914e-23,2.22868627e-16,1.37518892e-22,1.31266438e-18,3.07955404e-19,-5.53216968e-15,1.2749116e-21,7.10784834e-16,-3.06219225e-16,2.14154532e-17,2.07913222e-19,-1.06088374e-18,8.75849606e-17,1.30291377e-23,-2.35707933e-16,-7.13921744e-17,1.64691233e-18,-1.08219484e-15,6.10912448e-23,2.56973184e-16,-1.76922685e-16,8.71987176e-23,1.65336205e-18,3.26672334e-16,1.06892384e-17,-1.38504212e-16,0.556338028,2.07215847e-18,1.78432911e-16,-2.59613944e-17,1.73468077e-20,-3.92644999e-16
0.01875,2.29596815,300,0.84955338,0.295774648,-4.91184294e-20,9.13043107e-17,0.147887324,-1.99191726e-18,-1.01570758e-15,1.66247747e-15,-2.27789925e-16,-2.00476293e-22,-4.64002389e-23,-3.49629059e-21,-1.6613866e-23,1.14782362e-14,-4.28787129e-16,-2.36571394e-16,-1.06328647e-16,-2.41815255e-21,-3.55248852e-16,-5.77232665e-22,-1.20805136e-18,-5.84709191e-16,-6.84563945e-23,2.18082093e-16,-5.29589927e-22,-5.9517864e-18,-1.1357906e-18,-5.83186267e-15,-4.90906431e-21,7.06960487e-16,-3.10041586e-16,6.01735131e-18,-7.87636557e-19,-1.01422139e-17,8.13449335e-17,-5.01768937e-23,-2.42438987e-16,-7.63142043e-17,-2.77662479e-18,-1.08795384e-15,-2.35268514e-22,2.52619143e-16,-1.81232597e-16,-3.35810759e-22,-2.78831109e-18,3.22230662e-16,1.36347615e-18,-1.43843114e-16,0.556338028,-3.54254166e-18,1.75182017e-16,-2.91950603e-17,-6.66118598e-20,-3.96434812e-16
0.019125,2.29596815,300,0.84955338,0.295774648,-1.06049996e-20,1.05508275e-16,0.147887324,-5.44124553e-19,-8.79335482e-16,1.66039305e-15,-2.27162814e-16,-3.63936396e-23,-8.42175302e-24,-6.37657025e-22,-3.01539205e-24,1.17745525e-14,-4.28707492e-16,-2.41787135e-16,-1.06940502e-16,-4.49696387e-22,-3.57246912e-16,-1.04904041e-22,-7.29176655e-19,-5.85170514e-16,-1.2426233e-23,2.17703361e-16,-9.62283129e-23,-7.1092044e-18,-6.79445076e-19,-5.98108164e-15,-8.97005647e-22,7.06637185e-16,-3.10364718e-16,2.18357174e-18,-2.51103289e-19,-1.05586396e-17,8.08654923e-17,-9.10759238e-24,-2.40682173e-16,-7.6695848e-17,-3.13366903e-18,-1.08836486e-15,-4.2717204e-23,2.52265611e-16,-1.81583492e-16,-6.09740849e-23,-3.14628481e-18,3.21872689e-16,-1.40734823e-18,-1.42253114e-16,0.556338028,-3.95317754e-18,1.7489456e-16,-2.94797744e-17,-1.36069326e-20,-3.96755983e-16
0.0195,2.29596814,300,0.849553382,0.295774646,1.29075344e-19,4.95015149e-16,0.147887324,5.40461155e-18,3.41545801e-15,2.05796715e-15,-1.85174168e-16,4.88123393e-22,1.12978154e-22,8.50915431e-21,4.04525549e-23,1.20903084e-14,-4.20713937e-16,-1.56335583e-16,-9.77949039e-17,5.87466626e-21,-3.36557443e-16,1.40531883e-21,2.09998519e-18,-5.79621699e-16,1.66680394e-22,2.2347528e-16,1.28934926e-21,7.21139077e-19,1.98932317e-18,-6.12596515e-15,1.19453084e-20,7.11243172e-16,-3.05761132e-16,8.33219855e-18,1.76043967e-18,4.28992617e-19,8.84434869e-17,1.22173369e-22,-2.20899425e-16,-7.07583492e-17,2.1985121e-18,-1.08139077e-15,5.72827345e-22,2.57513563e-16,-1.76388764e-16,8.17622975e-22,2.20798185e-18,3.27226953e-16,1.67924353e-18,-1.27661801e-16,0.55633803,2.82679148e-18,1.7880355e-16,-2.5585329e-17,1.60335861e-19,-3.92191812e-16
0.019875,2.29596807,300,0.849553409,0.29577462,2.73707133e-19,8.10824788e-15,0.14788733,1.51061423e-17,1.33814859e-13,1.02715148e-14,8.84372582e-16,2.62983901e-22,6.08636733e-23,4.59371323e-21,2.17923985e-23,1.24023229e-14,-4.15535249e-16,-1.02762523e-16,-9.20410376e-17,3.19746177e-21,-3.22165871e-16,7.57487088e-22,2.3870822e-18,-5.75935814e-16,8.97977882e-23,2.2709893e-16,6.9492614e-22,7.06981463e-18,2.24161476e-18,-6.27396328e-15,6.45426634e-21,7.14151314e-16,-3.0285468e-16,1.07737551e-17,1.27727476e-18,6.93716876e-18,9.33402779e-17,6.58183912e-23,-2.05524012e-16,-6.70363648e-17,5.55164706e-18,-1.07704187e-15,3.08641613e-22,2.60815468e-16,-1.73119616e-16,4.40545339e-22,5.57460375e-18,3.30593536e-16,2.89000949e-18,-1.17757441e-16,0.55633805,7.05670031e-18,1.8128077e-16,-2.31163537e-17,9.09613402e-20,-3.89309528e-16
